especialidad,profesional,sede,dias_atencion,horario,duracion_min,tarifa_particular_pen,tarifa_vidasana_plus_pen,requiere_orden_medica,acepta_teleconsulta,seguros_aceptados
Medicina General,Dr. Ricardo Salas Peña,San Isidro,Lunes a Sábado,07:00-21:00,20,90,63,No,Sí,"Rímac, Pacífico, La Positiva, Mapfre, SIS"
Medicina General,Dra. Carmen Ríos Ugarte,Miraflores,Lunes a Viernes,08:00-20:00,20,90,63,No,Sí,"Rímac, Pacífico, La Positiva, Mapfre, SIS"
Medicina General,Dr. Aldo Fernández Cueva,Surco,Lunes a Sábado,07:30-20:00,20,90,63,No,Sí,"Rímac, Pacífico, La Positiva, Mapfre, SIS"
Pediatría,Dra. Lucía Mendoza Vera,San Isidro,Lunes a Viernes,09:00-18:00,30,150,105,No,Sí,"Rímac, Pacífico, La Positiva, Mapfre"
Pediatría,Dr. Manuel Ochoa Ruiz,Surco,Martes y Jueves,14:00-20:00,30,150,105,No,Sí,"Rímac, Pacífico, La Positiva, Mapfre"
Ginecología,Dra. Patricia Valdez Soto,Miraflores,Lunes a Viernes,08:00-16:00,30,180,126,No,No,"Rímac, Pacífico, La Positiva, Mapfre"
Ginecología,Dra. Elena Quispe Aliaga,San Isidro,"Lunes, Miércoles y Viernes",10:00-19:00,30,180,126,No,No,"Rímac, Pacífico, La Positiva, Mapfre"
Cardiología,Dr. Jorge Linares Bravo,San Isidro,Lunes a Viernes,08:00-17:00,40,220,154,Sí,Sí,"Rímac, Pacífico, Mapfre"
Cardiología,Dra. Sofía Arellano Paz,Surco,Miércoles y Viernes,09:00-15:00,40,220,154,Sí,Sí,"Rímac, Pacífico, Mapfre"
Dermatología,Dra. Andrea Cornejo Lazo,Miraflores,Lunes a Sábado,09:00-19:00,25,200,140,No,Sí,"Rímac, Pacífico, La Positiva"
Traumatología,Dr. Héctor Paredes Solís,San Isidro,Lunes a Viernes,07:00-15:00,30,210,147,Sí,No,"Rímac, Pacífico, La Positiva, Mapfre"
Traumatología,Dr. Iván Castillo Rojas,Surco,"Martes, Jueves y Sábado",08:00-14:00,30,210,147,Sí,No,"Rímac, Pacífico, La Positiva, Mapfre"
Oftalmología,Dra. Rosa Ninanya Huamán,Miraflores,Lunes a Viernes,09:00-18:00,25,190,133,No,No,"Rímac, Pacífico, Mapfre"
Otorrinolaringología,Dr. Fabio Zegarra Mena,San Isidro,Martes y Jueves,10:00-18:00,25,200,140,No,No,"Rímac, Pacífico"
Endocrinología,Dra. Mariana Torres Chávez,San Isidro,"Lunes, Miércoles y Viernes",08:00-14:00,35,230,161,Sí,Sí,"Rímac, Pacífico, Mapfre"
Gastroenterología,Dr. Álvaro Benites Loza,Surco,Lunes a Viernes,08:00-16:00,35,240,168,Sí,Sí,"Rímac, Pacífico, La Positiva"
Neurología,Dra. Claudia Espinoza Vega,San Isidro,"Martes, Jueves y Viernes",09:00-17:00,40,260,182,Sí,Sí,"Rímac, Pacífico"
Psicología,Lic. Diego Ramírez Tapia,Miraflores,Lunes a Sábado,08:00-20:00,50,130,91,No,Sí,"Rímac, Pacífico, La Positiva"
Psiquiatría,Dr. Enrique Bustamante Ríos,San Isidro,Miércoles y Sábado,10:00-16:00,45,250,175,Sí,Sí,"Rímac, Pacífico"
Nutrición,Lic. Valeria Sánchez Núñez,Surco,Lunes a Viernes,08:00-17:00,40,120,84,No,Sí,"Pacífico, La Positiva"
Urología,Dr. Óscar Delgado Ponce,San Isidro,Lunes y Miércoles,14:00-20:00,30,230,161,Sí,No,"Rímac, Pacífico, Mapfre"
Odontología,Dra. Gabriela Ynga Portal,Miraflores,Lunes a Sábado,09:00-19:00,40,110,77,No,No,"Pacífico, La Positiva"
Reumatología,Dr. Samuel Cárdenas Ita,Surco,Jueves,09:00-15:00,35,240,168,Sí,Sí,"Rímac, Pacífico"
Neumología,Dra. Ximena Robles Farfán,San Isidro,Martes y Viernes,08:00-14:00,35,235,165,Sí,Sí,"Rímac, Pacífico, Mapfre"
Medicina Física y Rehabilitación,Dr. Pablo Miranda Ávila,Surco,Lunes a Viernes,07:30-15:30,30,170,119,Sí,No,"Rímac, La Positiva, Mapfre"
